NSE Ticker,Name
CMRGREEN,CMR GREEN TECHNOLOGIES L 
CMRSL,CYBER MEDIA RES & SER LTD
CMSINFO,CMS INFO SYSTEMS LIMITED 
CNL,CREATIVE NEWTECH LIMITED 
COALINDIA,COAL INDIA LTD           
COASTCORP,COASTAL CORPORATION LTD  
COCHINSHIP,COCHIN SHIPYARD LIMITED  
COCKERILL,JOHN COCKERILL INDIA LTD.
COFFEEDAY,COFFEE DAY ENTERPRISE LTD
COFORGE,COFORGE LIMITED          
COHANCE,COHANCE LIFESCIENCES LTD 
COLPAL,COLGATE PALMOLIVE LTD.   
COMFINTE,COMFORT INTECH LTD.      
COMMITTED,COMMITTED CARGO CARE LTD 
COMPINFO,COMPUAGE INFOCOM LTD     
COMPUSOFT,COMPUCOM SOFTWARE LTD    
COMSYN,COMMERCIAL SYN BAGS LTD  
CONCOR,CONTAINER CORP OF IND LTD
CONCORDBIO,CONCORD BIOTECH LIMITED  
CONFIPET,CONFIDENCE PETRO IND LTD.
CONNPLEX,CONNPLEX CINEMAS LIMITED 
CONSOFINVT,CONSO. FIN. & HOLD. LTD. 
CONTI,CONTINENTAL SEED CHEM LTD
CONTROLPR,CONTROL PRINT LIMITED    
COOLCAPS,COOL CAPS INDUSTRIES LTD 
CORALFINAC,CORAL INDIA FIN & HOUS LT
CORDELIA,WATERWAYS LEISURE TOUR L 
CORDSCABLE,CORDS CABLE INDUS LTD.   
COROMANDEL,COROMANDEL INTERNTL. LTD 
CORONA,CORONA REMEDIES LIMITED  
COSMOFIRST,COSMO FIRST LIMITED      
COUNCODOS,COUNTRY CONDO S LIMITED  
CPCAP,CP CAPITAL LIMITED       
CPEDU,CAREER POINT EDUTECH LTD 
CPL,CAPTAIN POLYPLAST LIMITED
CPPLUS,ADITYA INFOTECH LIMITED  
CPS,C P S SHAPERS LIMITED    
CRAFTSMAN,CRAFTSMAN AUTOMATION LTD 
CRAMC,CANARA ROBECO AMC LIMITED
CRAYONS,CRAYONS ADVERTISING LTD  
CREATIVEYE,CREATIVE EYE LIMITED     
CREDITACC,CREDITACCESS GRAMEEN LTD 
CREST,CREST VENTURES LIMITED   
CRISIL,CRISIL LTD               
CRIZAC,CRIZAC LIMITED           
CROMPTON,CROMPT GREA CON ELEC LTD 
CROWN,CROWN LIFTERS LIMITED    
CSBBANK,CSB BANK LIMITED         
CSLFINANCE,CSL FINANCE LIMITED      
CSM,CSM TECHNOLOGIES LIMITED 
CSSL,CLEAR SECURED SERVICES L 
CTE,CAMBRIDGE TECH ENTER LTD 
CUB,CITY UNION BANK LTD      
CUBEINVIT,CUBE HIGHWAYS TRUST      
CUBEXTUB,CUBEX TUBINGS LTD        
CUDML,CASH UR DRIVE MARKETING L
CUMMINSIND,CUMMINS INDIA LTD        
CUPID,CUPID LIMITED            
CURAA,CURA TECHNOLOGIES LIMITED
CURIS,CURIS LIFESCIENCES LTD   
CURRENT,CURRENT INFRAPROJECTS LTD
CYBERMEDIA,CYBER MEDIA (INDIA) LTD. 
CYBERTECH,CYBERTECH SYSTEMS & SOFTW
CYIENT,CYIENT LIMITED           
CYIENTDLM,CYIENT DLM LIMITED       
DABUR,DABUR INDIA LTD          
DAICHI,DAI-ICHI KARKARIA LTD.   
DALBHARAT,DALMIA BHARAT LIMITED    
DALMIASUG,DALMIA BHARAT SUG IN LTD 
DAMCAPITAL,DAM CAPITAL ADVISORS LTD 
DAMODARIND,DAMODAR INDUSTRIES LTD   
DANGEE,DANGEE DUMS LIMITED      
DANISH,DANISH POWER LIMITED     
DATAMATICS,DATAMATICS GLOBAL SER LTD
DATAPATTNS,DATA PATTERNS INDIA LTD  
DAVANGERE,DAVANGERE SUGAR COMPANY L
DBCORP,D.B.CORP LTD             
DBEIL,DEEPAK BUILDERS & ENG I L
DBL,DILIP BUILDCON LIMITED   
DBOL,DHAMPUR BIO ORGANICS LTD 
DBREALTY,VALOR ESTATE LIMITED     
DBSTOCKBRO,DB (INT) STOCK BROKERS   
DCAL,DISHMAN CARBO AMCIS LTD  
DCBBANK,DCB BANK LIMITED         
DCCL,DAR CREDIT & CAPITAL LTD 
DCG,DCG CABLES & WIRES LTD   
DCI,DC INFOTECH AND COMUN LTD
DCM,DCM LIMITED              
DCMFINSERV,DCM FINANCIAL SERVICES LT
DCMNVL,DCM NOUVELLE LIMITED     
DCMSHRIRAM,DCM SHRIRAM LIMITED      
DCMSIL,DCM SHRIRAM INTERNATNL L 
DCMSRIND,DCM SHRIRAM IND LTD      
DCW,DCW LTD                  
DCXINDIA,DCX SYSTEMS LIMITED      
DDEVPLSTIK,DDEV PLASTIKS IND LTD    
DECCANCE,DECCAN CEMENTS LIMITED   
DECCANTRAN,DECCAN TRANSCON LEASING L
DECNGOLD,DECCAN GOLD MINES LTD.   
DEEDEV,DEE DEVELOPMENT ENG LTD  
DEEM,DEEM ROLL TECH LIMITED   
DEEPAKFERT,DEEPAK FERTILIZERS & PETR
DEEPAKNTR,DEEPAK NITRITE LTD       
DEEPINDS,DEEP INDUSTRIES LIMITED  
DELAPLEX,DELAPLEX LIMITED         
DELHIVERY,DELHIVERY LIMITED        
DELPHIFX,DELPHI WORLD MONEY LTD   
DELTACORP,DELTA CORP LIMITED       
DELTAMAGNT,DELTA MANUFACTURING LTD  
DELTIC,DELTA AUTOCORP LIMITED   
DEN,DEN NETWORKS LTD         
DENEERS,DE NEERS TOOLS LIMITED   
DENORA,DE NORA INDIA LIMITED    
DENTA,DENTA WATER N INFRA SOL L
DENTALKART,VASA DENTICITY LIMITED   
DESTINY,DESTINY LOGISTICS & I LTD
DEVIT,DEV INFO TECHNOLOGY LTD  
DEVX,DEV ACCELERATOR LIMITED  
DEVYANI,DEVYANI INTERNATIONAL LTD
DGCONTENT,DIGICONTENT LIMITED      
DHAMPURSUG,DHAMPUR SUGAR MILLS LTD. 
DHANBANK,DHANLAXMI BANK LIMITED   
DHANLAXMI,DHANLAXMI CROP SCIENCE L 
DHANSA,DHANSA LABS LIMITED      
DHANUKA,DHANUKA AGRITECH LTD     
DHARAN,DHARAN INFRA-EPC LIMITED 
DHARARAIL,DHARA RAIL PROJECTS LTD  
DHARIWAL,DHARIWALCORP LIMITED     
DHARMAJ,DHARMAJ CROP GUARD LTD   
DHRUV,DHRUV CONSULTANCY SER LTD
DHTL,DOCMODE HEALTH TECH LTD  
DHUNINV,DHUNSERI INVESTMENTS LTD 
DIACABS,DIAMOND POWER INFRA LTD  
DIAMINESQ,DIAMINES & CHEMICALS LTD 
DIAMONDYD,PRATAAP SNACKS LIMITED   
DICIND,DIC INDIA LIMITED        
DIFFNKG,DIFFUSION ENGINEERS LTD  
DIGIDRIVE,DIGIDRIVE DISTRIBUTORS L 
DIGIKORE,DIGIKORE STUDIOS LIMITED 
DIGISPICE,DIGISPICE TECHNOLOGIES LT
DIGITIDE,DIGITIDE SOLUTIONS LTD   
DIGJAMLMTD,DIGJAM LTD               
DIRL,DHANUKA INFRA REALTY LTD 
DISAQ,DISA INDIA LTD.          
DISHTV,DISH TV INDIA LTD.       
DIVGIITTS,DIVGI TORQTRANSFER SYST L
DIVINEHIRA,DIVINE HIRA JEWELLERS LTD
DIVISLAB,DIVI S LABORATORIES LTD  
DIVYADHAN,DIVYADHAN RECYCLING IND L
DIXON,DIXON TECHNO (INDIA) LTD 
DJML,DJ MEDIAPRINT & LOG LTD  
DKEGL,D K ENTERPRISES GLOBAL L 
DLF,DLF LIMITED              
DLINKINDIA,D-LINK INDIA LTD         
DMART,AVENUE SUPERMARTS LIMITED
DMCC,DMCC SPECIALITY CHEMICALS
DNAMEDIA,DILIGENT MEDIA CORP LTD. 
DODLA,DODLA DAIRY LIMITED      
DOLATALGO,DOLAT ALGOTECH LIMITED   
DOLLAR,DOLLAR INDUSTRIES LIMITED
DOLLEX,DOLLEX AGROTECH LIMITED  
DOLPHIN,DOLPHIN OFF ENT (IND) L  
DOMS,DOMS INDUSTRIES LIMITED  
DONEAR,DONEAR IND. LIMITED      
DPABHUSHAN,D. P. ABHUSHAN LIMITED   
DPEL,DIVINE POWER ENERGY LTD  
DPSCLTD,DPSC LIMITED             
DPWIRES,D P WIRES LIMITED        
DRAGARWQ,DR. AGARWAL'S EYE HOSP L 
DRCSYSTEMS,DRC SYSTEMS INDIA LIMITED
DREAMFOLKS,DREAMFOLKS SERVICES LTD  
DREDGECORP,DREDGING CORP OF INDIA   
DRONE,DRONE DESTINATION LIMITED
DRREDDY,DR. REDDY S LABORATORIES 
DRSCARGO,DRS CARGO MOVERS LIMITED 
DRSDILIP,DRS DILIP ROADLINES LTD. 
DSFCL,DCM SHRIRAM FINE CHEM LTD
DSKULKARNI,DS KULKARNI DEVELOPERS L 
DSSL,DYNACONS SYS & SOLN LTD  
DTIL,DHUNSERI TEA & IND. LTD. 
DTL,DIENSTEN TECH LIMITED    
DUCOL,DUCOL ORGS AND COLOURS LT
DUCON,DUCON INFRATECHNOLOGIES L
DUGLOBAL,DUDIGITAL GLOBAL LIMITED 
DURLAX,DURLAX TOP SURFACE LTD   
DVL,DHUNSERI VENTURES LIMITED
DWARKESH,DWARIKESH SUGAR IND LTD  
DYCL,DYNAMIC CABLES LIMITED   
DYNAMATECH,DYNAMATIC TECHNOLOGIES   
DYNAMIC,DYNAMIC SRVCS & SEC LTD  
DYNPRO,DYNEMIC PRODUCTS LIMITED 
E2E,E2E NETWORKS LIMITED     
E2ERAIL,E TO E TRANS INFRA LTD   
EASEMYTRIP,EASY TRIP PLANNERS LTD   
EASTSILK,EASTERN SILK INDUSTRIES L
EBGNG,GNG ELECTRONICS LIMITED  
ECLERX,ECLERX SERVICES LTD      
ECOLINE,ECOLINE EXIM LIMITED     
ECOSMOBLTY,ECOS (INDIA) MOB & HOSP L
EDELWEISS,EDELWEISS FIN SERV LTD   
EEPL,EPPELTONE ENGINEERS LTD  
EFACTOR,E FACTOR EXPERIENCES LTD 
EFCIL,EFC (I) LIMITED          
EFFWA,EFFWA INFRA & RESEARCH L 
EFORCE,ELECTRO FORCE (INDIA) LTD
EICHERMOT,EICHER MOTORS LTD        
EIDPARRY,EID PARRY INDIA LTD      
EIEL,ENVIRO INFRA ENGINEERS L 
EIFFL,EURO (I) FRESH FOODS LTD 
EIHAHOTELS,EIH ASSOCIATED HOTELS LTD
EIHOTEL,EIH LIMITED              
EIMCOELECO,EIMCO ELECON (INDIA) LTD 
EKC,EVEREST KANTO CYLINDERLTD
ELANTAS,ELANTAS BECK INDIA LTD.  
ELCIDIN,ELCID INVESTMENTS LTD.   
ELDEHSG,ELDECO HSG & IND LTD.    
ELECON,ELECON ENG. CO. LTD      
ELECTCAST,ELECTROSTEEL CASTINGS LTD
ELECTHERM,ELECTROTHERM (I) LTD.    
ELGIEQUIP,ELGI EQUIPMENTS LTD      
ELGIRUBCO,ELGI RUBBER CO. LTD      
ELGNZ,ELEGANZ INTERIORS LIMITED
ELIN,ELIN ELECTRONICS LIMITED 
ELITECON,ELITECON INTERNATIONAL L 
ELLEN,ELLENBARRIE INDUS GASES L
ELPROINTL,ELPRO INTERNATIONAL LTD  
EMAMILTD,EMAMI LIMITED            
EMAMIPAP,EMAMI PAPER MILLS LIMITED
EMAMIREAL,EMAMI REALTY LIMITED     
EMAPARTNER,EMA PARTNERS INDIA LTD   
EMBASSY,EMBASSY OFFICE PARKS REIT
EMBDL,EMBASSY DEVELOPMENTS LTD 
EMCURE,EMCURE PHARMACEUTICALS L 
EMIL,ELECTRONICS MART IND LTD 
EMKAY,EMKAY GLOBAL FIN SERV LTD
EMKAYTOOLS,EMKAY TAP & CUT. TOOL LTD
EMMBI,EMMBI INDUSTRIES LIMITED 
EMMIL,ENERGY MISSION MACH IND L
EMMVEE,EMMVEE PHOTOVOLTAIC PWR L
EMPOWER,EMPOWER INDIA LTD.       
EMSLIMITED,EMS LIMITED              
EMUDHRA,EMUDHRA LIMITED          
ENCOMPAS,ENCOMPASS DESIGN INDIA L 
ENDURANCE,ENDURANCE TECHNO. LTD.   
ENERGYDEV,ENERGY DEVE. CO.LTD      
ENFUSE,ENFUSE SOLUTIONS LIMITED 
ENGINERSIN,ENGINEERS INDIA LTD      
ENIL,ENTERTAIN NET. IND. LTD. 
ENRIN,SIEMENS ENERGY INDIA LTD 
ENSER,ENSER COMMUNICATIONS LTD 
ENTERO,ENTERO HEALTHCARE SOLU L 
ENVIRO,ENVIROTECH SYSTEMS LTD   
EPACK,EPACK DURABLE LIMITED    
EPACKPEB,EPACK PREFAB TECHN LTD   
EPIGRAL,EPIGRAL LIMITED          
EPL,EPL LIMITED              
EPWINDIA,EPW INDIA LIMITED        
EQUIPPP,EQUIPPP SOC IMP TECH LTD 
EQUITASBNK,EQUITAS SMALL FIN BNK LTD
ERIS,ERIS LIFESCIENCES LIMITED
ESABINDIA,ESAB INDIA LTD           
ESAFSFB,ESAF SMALL FINANCE BANK L
ESCONET,ESCONET TECHNOLOGIES LTD 
ESCORTS,ESCORTS KUBOTA LIMITED   
ESFL,ESSEN SPECIALITY FILMS L 
ESPRIT,ESPRIT STONES LIMITED    
ESSARSHPNG,ESSAR SHIPPING LTD       
ESSENTIA,INTEGRA ESSENTIA LIMITED 
ESTER,ESTER INDUSTRIES LTD     
ETERNAL,ETERNAL LIMITED          
ETHOSLTD,ETHOS LIMITED            
ETL,EMKAY TOOLS LIMITED      
ETML,EMERALD TYRE MANUF LTD   
EUREKAFORB,EUREKA FORBES LIMITED    
EUROBOND,EURO PANEL PRODUCTS LTD  
EUROPRATIK,EURO PRATIK SALES LIMITED
EUROTEXIND,EUROTEX IND & EXPORTS LTD
EVEREADY,EVEREADY INDS. IND.  LTD.
EVERESTIND,EVEREST INDUSTRIES LTD   
EXCELINDUS,EXCEL INDUSTRIES LTD     
EXCELLENT,EXCELLENT WIRES N PACK L 
EXCELSOFT,EXCELSOFT TECHNOLOGIES L 
EXICOM,EXICOM TELE SYSTEMS LTD  
EXIDEIND,EXIDE INDUSTRIES LTD     
EXIMROUTES,EXIM ROUTES LIMITED      
EXPLEOSOL,EXPLEO SOLUTIONS LIMITED 
EXXARO,EXXARO TILES LIMITED     
FABTECH,FABTECH TECHNOLOGIES LTD 
FACT,FACT LTD                 
FAIRCHEMOR,FAIRCHEM ORGANICS LIMITED
FALCONTECH,FALCON TECHNOPROJ IND LTD
FAZE3Q,FAZE THREE LIMITED       
FCL,FINEOTEX CHEMICAL LIMITED
FCSSOFT,FCS SOFTWARE SOLN. LTD.  
FDC,FDC LIMITED              
FEDDERSHOL,FEDDERS HOLDING LTD.     
FEDERALBNK,FEDERAL BANK LTD         
FEDFINA,FEDBANK FINANCIAL SER L  
FEL,FUTURE ENTERPRISES LTD   
FELDVR,FUTURE ENTERPRISES LTD   
FELIX,FELIX INDUSTRIES LTD.    
FERMENTA,FERMENTA BIOTECH LTD.    
FIBERWEB,FIBERWEB INDIA LIMITED   
FIDEL,FIDEL SOFTECH LIMITED    
FIEMIND,FIEM INDUSTRIES LIMITED  
FILATEX,FILATEX INDIA LTD        
FILATFASH,FILATEX FASHIONS LIMITED 
FINBUD,FINBUD FINANCIAL SERV LTD
FINCABLES,FINOLEX CABLES LTD       
FINEORG,FINE ORGANIC IND. LTD.   
FINKURVE,FINKURVE FINANCIAL SERV L
FINOPB,FINO PAYMENTS BANK LTD   
FINPIPE,FINOLEX INDUSTRIES LTD   
FIRSTCRY,BRAINBEES SOLUTIONS LTD  
FISCHER,FISCHER MEDICAL VENTURE L
FIVESTAR,FIVE-STAR BUS FIN LTD    
FLAIR,FLAIR WRITING INDUST LTD 
FLEXITUFF,FLEXITUFF VENTURES INT L 
FLFL,FUT LIFESTYLE FASH LTD   
FLUOROCHEM,GUJARAT FLUOROCHEM LTD   
FLYSBS,FLYSBS AVIATION LIMITED  
FMGOETZE,FEDERAL-MOGUL GOETZE (IND
FMNL,FUTURE MKT NETWORKS LTD  
FOCE,FOCE INDIA LIMITED       
FOCUS,FOCUS LIGHTG & FIXTRS LTD
FONEBOX,FONEBOX RETAIL LIMITED   
FOODSIN,FOODS & INNS LIMITED     
FORCAS,FORCAS STUDIO LIMITED    
FORCEMOT,FORCE MOTORS LIMITED     
FORGEAUTO,FORGE AUTO INTERNATION L 
FORTIS,FORTIS HEALTHCARE LTD    
FOSECOIND,FOSECO INDIA LTD         
FRACTAL,FRACTAL ANALYTICS LIMITED
FRESHARA,FRESHARA AGRO EXPORTS LTD
FROG,FROG INNOVATIONS LIMITED 
FRONTSP,FRONTIER SPRINGS LTD.    
FSL,FIRSTSOURCE SOLU. LTD.   
FUSION,FUSION FINANCE LIMITED   
FWSTC,FLYWINGS SIMULAT T C LTD 
GABRIEL,GABRIEL INDIA LTD        
GAEL,GUJARAT AMBUJA EXPORTS LT
GAIL,GAIL (INDIA) LTD         
GAJANAND,GAJANAND INTERNATIONAL L 
GALAPREC,GALA PRECISION ENG LTD   
GALAXYSURF,GALAXY SURFACTANTS LTD   
GALLANTT,GALLANTT ISPAT LIMITED   
GANDHAR,GANDHAR OIL REFINE IND L 
GANDHITUBE,GANDHI SPL. TUBES LTD    
GANECOS,GANESHA ECOSPHERE LIMITED
GANESHBE,GANESH BENZOPLAST LIMITED
GANESHCP,GANESH CONSUMER PRODUCT L
GANESHHOU,GANESH HOUSING LIMITED   
GANESHIN,GANESH INFRAWORLD LIMITED
GANGABATH,GANGA BATH FITTINGS LTD  
GANGAFORGE,GANGA FORGING LIMITED    
GANGESSECU,GANGES SECURITIES LIMITED
GARFIBRES,GARWARE TECH FIBRES LTD  
GARUDA,GARUDA CONSTRUCT N ENG L 
GATECH,GACM TECHNOLOGIES LIMITED
GATECHDVR,GACM TECHNOLOGIES LIMITED
GATEWAY,GATEWAY DISTRIPARKS LTD  
GAUDIUMIVF,GAUDIUM IVF N WOMEN H L  
GAYAHWS,GAYATRI HIGHWAYS LIMITED 
GAYAPROJ,GAYATRI PROJECTS LTD     
GCHOTELS,GRAND CONTINENT HOTELS L 
GCSL,GRETEX CORPORATE SERVICES
GEECEE,GEECEE VENTURES LIMITED  
GEEKAYWIRE,GEEKAY WIRES LIMITED     
GEMAROMA,GEM AROMATICS LIMITED    
GENCON,GENERIC ENG CONS PROJ LTD
GENESYS,GENESYS INTL CORPN LTD   
GENESYS-RE,GENESYS INTER CORPORATION
GENSOL,GENSOL ENGINEERING LTD   
GENUSPAPER,GENUS P&B LIMITED        
GENUSPOWER,GENUS POWER INFRASTRU LTD
GENXAI,GENXAI ANALYTICS LIMITED 
GEOJITFSL,GEOJIT FINANCIAL SER L   
GESHIP,THE GE SHPG.LTD          
GFLLIMITED,GFL LIMITED              
GGBL,GANESH GREEN BHARAT LTD  
GHCL,GHCL LIMITED             
GHCLTEXTIL,GHCL TEXTILES LIMITED    
GICHSGFIN,GIC HOUSING FINANCE LTD  
GICL,GLOBE INTL CARRIERS LTD  
GICRE,GENERAL INS CORP OF INDIA
GILLANDERS,GILLANDERS ARBUTHNOT LTD 
GILLETTE,GILLETTE INDIA LTD       
GINNIFILA,GINNIFILAMENTS LTD.      
GIPCL,GUJ IND POW CO. LTD      
GIRIRAJ,GIRIRAJ CIVIL DEVP LTD   
GJL,GROVER JEWELLS LIMITED   
GKENERGY,GK ENERGY LIMITED        
GKSL,GUJARAT KIDNEY N SUP SP L
GKWLIMITED,GKW LIMITED              
GLAND,GLAND PHARMA LIMITED     
GLAXO,GLAXOSMITHKLINE PHARMA LT
GLENMARK,GLENMARK PHARMACEUTICALS 
GLFL,GUJARAT LEASE FINANCING L
GLOBAL,GLOBAL EDUCATION LIMITED 
GLOBALE,GLOBALE TESSILE LIMITED  
GLOBALPET,GLOBAL PET INDUSTRIES LTD
GLOBALVECT,GLOBAL VEC HELICORP LTD  
GLOBE,GLOBE ENTERPRISE (I) LTD 
GLOBECIVIL,GLOBE CIVIL PROJECTS LTD 
GLOBUSSPR,GLOBUS SPIRITS LTD       
GLOSTERLTD,GLOSTER LIMITED          
GLOTTIS,GLOTTIS LIMITED          
GMBREW,G M BREWERIES LTD        
GMDCLTD,GUJARAT MINERAL DEV CORP 
GML,GALAXY MEDICARE LIMITED  
GMMPFAUDLR,GMM PFAUDLER LIMITED     
GMRAIRPORT,GMR AIRPORTS LIMITED     
GMRP&UI,GMR POW AND URBAN INFRA L
GNA,GNA AXLES LIMITED        
GNFC,GUJ NAR VAL FER & CHEM L 
GNRL,GUJARAT NATURAL RES L    
GOACARBON,GOA CARBON LIMITED       
GOCLCORP,GOCL CORPORATION LIMITED 
GOCOLORS,GO FASHION INDIA LTD     
GODAVARIB,GODAVARI BIOREFINERIES L 
GODFRYPHLP,GODFREY PHILLIPS INDIA LT
GODIGIT,GO DIGIT GENERAL INS LTD 
GODREJAGRO,GODREJ AGROVET LIMITED   
GODREJCP,GODREJ CONSUMER PRODUCTS 
GODREJIND,GODREJ INDUSTRIES LTD    
GODREJPROP,GODREJ PROPERTIES LTD    
GOKEX,GOKALDAS EXPORTS LTD.    
GOKUL,GOKUL REFOILS & SOLV LTD 
GOKULAGRO,GOKUL AGRO RESOURCES LTD 
GOLDENTOBC,GOLDEN TOBACCO LIMITED   
GOLDIAM,GOLDIAM INTERNATIONAL LTD
GOLDKART,GOLDKART JEWELS LIMITED  
GOLDSTAR,GOLDSTAR POWER LIMITED   
GOLDTECH,AION-TECH SOLUTIONS LTD  
GOODLUCK,GOODLUCK INDIA LIMITED   
GOODYEAR,GOODYEAR INDIA LIMITED   
GOPAL,GOPAL SNACKS LIMITED     
GOYALALUM,GOYAL ALUMINIUMS LIMITED 
GOYALSALT,GOYAL SALT LIMITED       
GPECO,GP ECO SOLUTIONS INDIA L 
GPIL,GODAWARI POW & ISP LTD   
GPPL,GUJARAT PIPAVAV PORT LTD 
GPTHEALTH,GPT HEALTHCARE LIMITED   
GPTINFRA,GPT INFRAPROJECTS LTD    
GRADIENTE,GRADIENTE INFOTAINMENT L 
GRANDOAK,GRAND OAK CANYONS DIST L 
GRANULES,GRANULES INDIA LIMITED   
GRAPHISAD,GRAPHISADS LIMITED       
GRAPHITE,GRAPHITE INDIA LTD       
GRASIM,GRASIM INDUSTRIES LTD    
GRAUWEIL,GRAUER & WEIL IND LTD    
GRAVISSHO,GRAVISS HOSPITALITY LTD. 
GRAVITA,GRAVITA INDIA LIMITED    
GRCL,GAYATRI RUBB AND CHEM LTD
GREAVESCOT,GREAVES COTTON LTD.      
GREENCHEF,GREENCHEF APPLIANCES LTD 
GREENLAM,GREENLAM INDUSTRIES LTD. 
GREENLEAF,GREENLEAF ENVIROTECH LTD 
GREENPANEL,GREENPANEL INDUSTRIES LTD
GREENPLY,GREENPLY INDUSTRIES LTD  
GREENPOWER,ORIENT GREEN POWER CO LTD
GRETEX,GRETEX INDUSTRIES LTD.   
GRINDWELL,GRINDWELL NORTON LIMITED 
GRINFRA,G R INFRAPROJECTS LIMITED
GRMOVER,GRM OVERSEAS LIMITED     
GROBTEA,THE GROB TEA COMPANY LTD 
GROWW,BILLIONBRAINS GARAGE VN L
GRPLTD,GRP LIMITED              
GRSE,GARDEN REACH SHIP&ENG LTD
GRWRHITECH,GARWARE HI-TECH FILMS LTD
GSFC,GUJ STATE FERT & CHEM LTD
GSLSU,GLOBAL SURFACES LIMITED  
GSMFOILS,GSM FOILS LIMITED        
GSPCROP,GSP CROP SCIENCE LIMITED 
GSS,GSS INFOTECH LIMITED     
GSTL,GLOBESECURE TECHNO LTD   
GTECJAINX,G-TEC JAINX EDUCATION LTD
GTL,GTL LTD                  
GTLINFRA,GTL INFRA.LTD            
GTPL,GTPL HATHWAY LIMITED     
GUFICBIO,GUFIC BIOSCIENCES LTD.   
GUJALKALI,GUJARAT ALKALIES & CHEM  
GUJAPOLLO,GUJ. APOLLO IND. LTD.    
GUJENERGY,GUJARAT ENERGY LIMITED   
GUJRAFFIA,GUJARAT RAFFIA INDUST LTD
GUJTHEM,GUJARAT THEMIS BIOSYN LTD
GULFOILLUB,GULF OIL LUB. IND. LTD.  
GULFPETRO,GP PETROLEUMS LIMITED    
GULPOLY,GULSHAN POLYOLS LIMITED  
GURUNANAK,GURUNANAK AGRICULTUR IN L
GVKPIL,GVK POW. & INFRA LTD.    
GVPIL,GE POWER INDIA LIMITED   
GVPTECH,GVP INFOTECH LIMITED     
GVT&D,GE VERNOVA T&D INDIA LTD 
GYFTR,GYFTR LIMITED            
HAL,HINDUSTAN AERONAUTICS LTD
HALDER,HALDER VENTURE LIMITED   
HALDYNGL,HALDYN GLASS LTD.        
HALEOSLABS,HALEOS LABS LIMITED      
HAPPSTMNDS,HAPPIEST MINDS TECHNO LTD
HAPPY,HAPPY STEELS LIMITED     
HAPPYFORGE,HAPPY FORGINGS LIMITED   
HARDWYN,HARDWYN INDIA LIMITED    
HARIOMPIPE,HARIOM PIPE INDUSTRIES L 
HARRMALAYA,HARRISON MALAYALAM LTD   
HARSHA,HARSHA ENGINEERS INT LTD 
HATHWAY,HATHWAY CABLE & DATACOM  
HATSUN,HATSUN AGRO PRODUCT LTD. 
HAVELLS,HAVELLS INDIA LIMITED    
HAVISHA,SRI HAVISHA HOSP & INFR L
HAWKINCOOK,HAWKINS COOKERS LTD      
HBESD,H B ESTATE DEVELOPERS L  
HBLENGINE,HBL ENGINEERING LTD      
HBSL,HB STOCKHOLDINGS LIMITED 
HCC,HINDUSTAN CONSTRUCTION CO
HCG,HEALTHCARE GLOB. ENT. LTD
HCL-INSYS,HCL INFOSYSTEMS LTD      
HCLTECH,HCL TECHNOLOGIES LTD     
HDBFS,HDB FINANCIAL SERVICES L 
HDFCAMC,HDFC AMC LIMITED         
HDFCBANK,HDFC BANK LTD            
HDFCLIFE,HDFC LIFE INS CO LTD     
HDIL,HOUSING DEV & INFRA LTD  
HEADSUP,HEADS UP VENTURES LIMITED
HEALTHX,HEALTH X PLATFORM LIMITED
HECPROJECT,HEC INFRA PROJECTS LTD   
HEG,HEG LTD                  
HEIDELBERG,HEIDELBERGCEMENT (I) LTD 
HEMIPROP,HEMISPHERE PROP IND LTD  
HERANBA,HERANBA INDUSTRIES LTD   
HERITGFOOD,HERITAGE FOODS LTD       
HEROMOTOCO,HERO MOTOCORP LIMITED    
HESTERBIO,HESTER BIOSCIENCES LTD   
HEXAGON,HEXAGON NUTRITION LIMITED
HEXATRADEX,HEXA TRADEX LIMITED      
HEXT,HEXAWARE TECHNOLOGIES LTD
HFCL,HFCL LIMITED             
HGINFRA,H.G.INFRA ENGINEERING LTD
HGM,HANDSON GBL MNGMNT LTD   
HGS,HINDUJA GLOBAL SOLS. LTD.
HIGREEN,HI GREEN CARBON LIMITED  
HIKAL,HIKAL LIMITED            
HILINFRA,HIGHWAY INFRASTRUCTURE L 
HILTON,HILTON METAL FORGING LTD 
HIMATSEIDE,HIMATSINGKA SEIDE LTD    
HINDALCO,HINDALCO  INDUSTRIES  LTD
HINDCOMPOS,HINDUSTAN COMPOSITES LTD.
HINDCON,HINDCON CHEMICALS LIMITED
HINDCOPPER,HINDUSTAN COPPER LTD     
HINDOILEXP,HINDUSTAN OIL EXPLORATION
HINDPETRO,HINDUSTAN PETROLEUM CORP 
HINDUNILVR,HINDUSTAN UNILEVER LTD.  
HINDWAREAP,HINDWARE HME INOVATON LTD
HINDZINC,HINDUSTAN ZINC LIMITED   
HIRECT,HIND RECTIFIER LIMITED   
HISARMETAL,HISAR METAL IND. LIMITED 
HITECH,HI-TECH PIPES LIMITED    
HITECHCORP,HITECH CORPORATION LTD   
HITECHGEAR,THE HI-TECH GEARS LIMITED
HLEGLAS,HLE GLASCOAT LIMITED     
HLVLTD,HLV LIMITED              
HMAAGRO,HMA AGRO INDUSTRIES LTD  
HMT,HMT LTD -                
HMVL,HINDUSTAN MEDIA VENT LTD 
HNDFDS,HINDUSTAN FOODS LIMITED  
